Date,USD,EUR
1/1/2020,"1,514.8","1,349.4"
1/2/2020,"1,527.1","1,363.4"
1/3/2020,"1,548.8","1,387.2"
1/6/2020,"1,573.1","1,405.9"
1/7/2020,"1,567.9","1,407.2"
1/8/2020,"1,572.0","1,413.7"
1/9/2020,"1,550.8","1,396.8"
1/10/2020,"1,553.6","1,397.9"
1/13/2020,"1,549.9","1,392.0"
1/14/2020,"1,545.1","1,389.3"
1/15/2020,"1,549.0","1,389.1"
1/16/2020,"1,554.6","1,395.3"
1/17/2020,"1,557.6","1,403.9"
1/20/2020,"1,560.2","1,407.8"
1/21/2020,"1,551.3","1,397.8"
1/22/2020,"1,556.9","1,405.7"
1/23/2020,"1,562.9","1,415.0"
1/24/2020,"1,564.3","1,418.9"
1/27/2020,"1,580.1","1,434.8"
1/28/2020,"1,574.0","1,430.8"
1/29/2020,"1,573.5","1,430.6"
1/30/2020,"1,578.3","1,430.2"
1/31/2020,"1,584.2","1,429.5"
2/3/2020,"1,574.8","1,424.2"
2/4/2020,"1,558.4","1,411.7"
2/5/2020,"1,553.3","1,411.8"
2/6/2020,"1,563.3","1,424.1"
2/7/2020,"1,572.7","1,434.4"
2/10/2020,"1,573.2","1,440.1"
2/11/2020,"1,570.5","1,438.8"
2/12/2020,"1,563.7","1,435.2"
2/13/2020,"1,575.1","1,451.9"
2/14/2020,"1,581.4","1,458.1"
2/17/2020,"1,580.8","1,459.6"
2/18/2020,"1,589.9","1,469.0"
2/19/2020,"1,604.2","1,486.4"
2/20/2020,"1,619.0","1,498.6"
2/21/2020,"1,643.3","1,514.3"
2/24/2020,"1,671.7","1,539.8"
2/25/2020,"1,650.3","1,519.0"
2/26/2020,"1,634.9","1,504.7"
2/27/2020,"1,652.0","1,503.7"
2/28/2020,"1,609.9","1,465.6"
3/2/2020,"1,599.7","1,437.1"
3/3/2020,"1,615.5","1,445.3"
3/4/2020,"1,641.9","1,473.7"
3/5/2020,"1,659.6","1,483.2"
3/6/2020,"1,683.7","1,488.6"
3/9/2020,"1,672.5","1,464.7"
3/10/2020,"1,655.7","1,459.5"
3/11/2020,"1,653.8","1,466.4"
3/12/2020,"1,570.7","1,417.4"
3/13/2020,"1,562.8","1,411.9"
3/16/2020,"1,487.7","1,335.6"
3/17/2020,"1,536.2","1,400.1"
3/18/2020,"1,498.2","1,382.9"
3/19/2020,"1,474.3","1,377.6"
3/20/2020,"1,494.4","1,398.1"
3/23/2020,"1,525.4","1,417.7"
3/24/2020,"1,605.8","1,487.3"
3/25/2020,"1,605.5","1,482.1"
3/26/2020,"1,634.8","1,483.0"
3/27/2020,"1,617.3","1,462.6"
3/30/2020,"1,618.3","1,467.3"
3/31/2020,"1,609.0","1,466.4"
4/1/2020,"1,576.6","1,443.2"
4/2/2020,"1,616.8","1,488.3"
4/3/2020,"1,613.1","1,493.8"
4/6/2020,"1,648.3","1,528.5"
4/7/2020,"1,649.3","1,515.6"
4/8/2020,"1,647.8","1,516.8"
4/9/2020,"1,680.7","1,536.5"
4/10/2020,"1,680.7","1,536.5"
4/13/2020,"1,680.7","1,541.8"
4/14/2020,"1,741.9","1,588.0"
4/15/2020,"1,718.7","1,576.0"
4/16/2020,"1,729.5","1,594.1"
4/17/2020,"1,692.6","1,554.4"
4/20/2020,"1,686.2","1,549.6"
4/21/2020,"1,682.1","1,548.6"
4/22/2020,"1,710.6","1,579.8"
4/23/2020,"1,736.3","1,603.5"
4/24/2020,"1,715.9","1,587.0"
4/27/2020,"1,715.0","1,582.0"
4/28/2020,"1,691.6","1,561.6"
4/29/2020,"1,703.4","1,569.4"
4/30/2020,"1,702.8","1,554.6"
5/1/2020,"1,686.3","1,531.8"
5/4/2020,"1,709.1","1,565.6"
5/5/2020,"1,699.6","1,567.8"
5/6/2020,"1,691.5","1,566.6"
5/7/2020,"1,704.1","1,581.1"
5/8/2020,"1,704.1","1,567.3"
5/11/2020,"1,702.8","1,573.0"
5/12/2020,"1,702.4","1,565.5"
5/13/2020,"1,708.4","1,576.2"
5/14/2020,"1,731.6","1,601.3"
5/15/2020,"1,735.4","1,604.1"
5/18/2020,"1,734.7","1,597.7"
5/19/2020,"1,738.0","1,587.5"
